experiment,total,passed,failed,success_rate,F1_Syntax_Errors,F2_Environment_Issues,F3_Type_Related,F4_Verus_Spec,F5_Verification_Logic,F6_Other
p1_fewshot_claude-sonnet-4-5-20250929,3810,250,3560,6.56%,1602 (45.0%),765 (21.5%),255 (7.2%),218 (6.1%),56 (1.6%),664 (18.7%)
p1_fewshot_deepseek-v3.2,3810,116,3694,3.04%,368 (10.0%),466 (12.6%),2553 (69.1%),125 (3.4%),56 (1.5%),126 (3.4%)
p1_fewshot_gpt-4o-mini,3810,98,3712,2.57%,1078 (29.0%),1221 (32.9%),131 (3.5%),685 (18.5%),12 (0.3%),585 (15.8%)
p1_fewshot_gpt-5.2,3810,1136,2674,29.82%,909 (34.0%),159 (5.9%),230 (8.6%),274 (10.2%),361 (13.5%),741 (27.7%)
p1_fewshot_o4-mini,3810,123,3687,3.23%,1658 (45.0%),1240 (33.6%),320 (8.7%),102 (2.8%),13 (0.4%),354 (9.6%)
p1_fewshotplusCOT_claude-sonnet-4-5-20250929,3810,209,3601,5.49%,1786 (49.6%),746 (20.7%),181 (5.0%),199 (5.5%),39 (1.1%),650 (18.1%)
p1_fewshotplusCOT_deepseek-v3.2,3810,126,3684,3.31%,377 (10.2%),423 (11.5%),2558 (69.4%),103 (2.8%),79 (2.1%),144 (3.9%)
p1_fewshotplusCOT_gpt-4o-mini,3810,75,3735,1.97%,1010 (27.0%),1245 (33.3%),130 (3.5%),652 (17.5%),33 (0.9%),665 (17.8%)
p1_fewshotplusCOT_gpt-5.2,3810,825,2985,21.65%,1036 (34.7%),586 (19.6%),203 (6.8%),247 (8.3%),286 (9.6%),627 (21.0%)
p1_fewshotplusLTM_claude-sonnet-4-5-20250929,3810,147,3663,3.86%,1977 (54.0%),713 (19.5%),164 (4.5%),107 (2.9%),20 (0.5%),682 (18.6%)
p1_fewshotplusLTM_deepseek-v3.2,3810,236,3574,6.19%,332 (9.3%),270 (7.6%),2569 (71.9%),127 (3.6%),97 (2.7%),179 (5.0%)
p1_fewshotplusLTM_gpt-4o-mini,3810,103,3707,2.70%,1132 (30.5%),1199 (32.3%),117 (3.2%),609 (16.4%),36 (1.0%),614 (16.6%)
p1_fewshotplusLTM_gpt-5.2,3810,469,3341,12.31%,1062 (31.8%),1247 (37.3%),120 (3.6%),238 (7.1%),147 (4.4%),527 (15.8%)
p1_zeroshot_claude-sonnet-4-5-20250929,3810,2,3808,0.05%,1234 (32.4%),2341 (61.5%),167 (4.4%),33 (0.9%),0 (0.0%),33 (0.9%)
p1_zeroshot_deepseek-v3.2,3810,53,3757,1.39%,614 (16.3%),693 (18.4%),2138 (56.9%),146 (3.9%),8 (0.2%),158 (4.2%)
p1_zeroshot_gpt-4o-mini,3810,0,3810,0.00%,1755 (46.1%),1936 (50.8%),47 (1.2%),0 (0.0%),0 (0.0%),72 (1.9%)
p1_zeroshot_gpt-5.2,3810,13,3797,0.34%,793 (20.9%),2328 (61.3%),2 (0.1%),268 (7.1%),1 (0.0%),405 (10.7%)
p1_zeroshot_o4-mini,3810,0,3810,0.00%,2074 (54.4%),1560 (40.9%),82 (2.2%),6 (0.2%),0 (0.0%),88 (2.3%)
p2_fewshot_claude-sonnet-4-5-20250929,3810,117,3693,3.07%,1060 (28.7%),1739 (47.1%),238 (6.4%),57 (1.5%),48 (1.3%),551 (14.9%)
p2_fewshot_deepseek-v3.2,3810,31,3779,0.81%,379 (10.0%),753 (19.9%),2470 (65.4%),33 (0.9%),11 (0.3%),133 (3.5%)
p2_fewshot_gpt-4o-mini,3810,26,3784,0.68%,1388 (36.7%),1390 (36.7%),223 (5.9%),97 (2.6%),6 (0.2%),680 (18.0%)
p2_fewshot_gpt-5.2,3810,357,3453,9.37%,1281 (37.1%),443 (12.8%),524 (15.2%),119 (3.4%),97 (2.8%),989 (28.6%)
p2_fewshot_o4-mini,3810,93,3717,2.44%,1556 (41.9%),1366 (36.8%),251 (6.8%),38 (1.0%),9 (0.2%),497 (13.4%)
p2_fewshotplusCOT_claude-sonnet-4-5-20250929,3810,139,3671,3.65%,1051 (28.6%),1630 (44.4%),236 (6.4%),75 (2.0%),39 (1.1%),640 (17.4%)
p2_fewshotplusCOT_deepseek-v3.2,3810,13,3797,0.34%,373 (9.8%),723 (19.0%),2536 (66.8%),30 (0.8%),6 (0.2%),129 (3.4%)
p2_fewshotplusCOT_gpt-4o-mini,3810,24,3786,0.63%,1368 (36.1%),1472 (38.9%),209 (5.5%),114 (3.0%),5 (0.1%),618 (16.3%)
p2_fewshotplusCOT_gpt-5.2,3810,357,3453,9.37%,1299 (37.6%),384 (11.1%),563 (16.3%),117 (3.4%),92 (2.7%),998 (28.9%)
p2_fewshotplusLTM_claude-sonnet-4-5-20250929,3810,70,3740,1.84%,1271 (34.0%),1768 (47.3%),202 (5.4%),34 (0.9%),12 (0.3%),453 (12.1%)
