rank,main_category,sub_category,count,percentage
1,syntax_error,unexpected_symbol,31590,16.07%
2,rust_compile_error,E0432,26912,13.69%
3,undefined_symbol,undefined_value,25111,12.77%
4,other_error,unclassified_error,22592,11.49%
5,main_function,missing_main,18616,9.47%
6,syntax_error,expected_one_of,12222,6.22%
7,verus_syntax,spec_keyword_misuse,10654,5.42%
8,syntax_error,unexpected_token,9752,4.96%
9,import_error,missing_verus_macro,7385,3.76%
10,verus_syntax,ghost_error,6215,3.16%
11,syntax_error,missing_semicolon,3139,1.60%
12,undefined_symbol,undefined_function,3060,1.56%
13,rust_compile_error,E0599,2442,1.24%
14,verus_syntax,spec_function_error,2322,1.18%
15,undefined_symbol,undefined_generic,2150,1.09%
16,verus_verification,postcondition_failed,1587,0.81%
17,verus_syntax,exec_mode_error,1300,0.66%
18,type_error,type_mismatch,1058,0.54%
19,rust_compile_error,E0277,777,0.40%
20,syntax_error,unclosed_delimiter,747,0.38%
21,rust_compile_error,E0282,718,0.37%
22,rust_compile_error,E0428,688,0.35%
23,verus_syntax,verus_macro_error,647,0.33%
24,rust_compile_error,E0283,622,0.32%
25,verus_verification,precondition_failed,524,0.27%
26,rust_compile_error,E0423,488,0.25%
27,verus_verification,invariant_failed,461,0.23%
28,rust_compile_error,E0433,410,0.21%
29,undefined_symbol,undefined_type,387,0.20%
30,verus_verification,assertion_failed,383,0.19%
31,unknown,unknown_error,310,0.16%
32,rust_compile_error,E0284,265,0.13%
33,syntax_error,expected_identifier,238,0.12%
34,syntax_error,missing_curly_brace,200,0.10%
35,rust_compile_error,E0573,108,0.05%
36,rust_compile_error,E0604,94,0.05%
37,rust_compile_error,E0369,46,0.02%
38,rust_compile_error,E0061,35,0.02%
39,ownership_error,lifetime_error,34,0.02%
40,rust_compile_error,E0762,27,0.01%
41,rust_compile_error,E0605,26,0.01%
42,rust_compile_error,E0507,23,0.01%
43,macro_error,macro_expansion_failed,22,0.01%
44,rust_compile_error,E0614,19,0.01%
45,import_error,missing_vstd_module,19,0.01%
46,rust_compile_error,E0308,17,0.01%
47,rust_compile_error,E0368,16,0.01%
48,type_error,operator_not_implemented,14,0.01%
49,ownership_error,use_after_move,14,0.01%
50,rust_compile_error,E0408,13,0.01%
51,rust_compile_error,E0070,12,0.01%
52,ownership_error,mutable_borrow_error,11,0.01%
53,rust_compile_error,E0424,11,0.01%
54,rust_compile_error,E0204,10,0.01%
55,verus_verification,termination_proof_failed,10,0.01%
56,rust_compile_error,E0434,9,0.00%
57,rust_compile_error,E0603,8,0.00%
58,rust_compile_error,E0608,7,0.00%
59,rust_compile_error,E0615,7,0.00%
60,verus_syntax,proof_block_error,5,0.00%
61,rust_compile_error,E0404,5,0.00%
62,rust_compile_error,E0463,5,0.00%
63,rust_compile_error,E0592,4,0.00%
64,rust_compile_error,E0609,3,0.00%
65,rust_compile_error,E0080,3,0.00%
66,rust_compile_error,E0610,2,0.00%
67,rust_compile_error,E0763,2,0.00%
68,rust_compile_error,E0658,2,0.00%
69,rust_compile_error,E0659,2,0.00%
70,rust_compile_error,E0765,2,0.00%
71,rust_compile_error,E0606,2,0.00%
72,rust_compile_error,E0164,1,0.00%
73,timeout,verification_timeout,1,0.00%
74,verus_toolchain,verus_tool_error,1,0.00%
75,rust_compile_error,E0600,1,0.00%
76,rust_compile_error,E0107,1,0.00%
77,rust_compile_error,E0532,1,0.00%
78,rust_compile_error,E0758,1,0.00%
79,rust_compile_error,E0574,1,0.00%
