experiment,pipeline,variant,model,total_samples,pass1_rate,pass5_rate
p1_fewshot_claude-sonnet-4-5-20250929,p1_fewshot,p1_fewshot,claude-sonnet-4-5-20250929,762,6.96%,17.45%
p1_fewshot_deepseek-v3.2,p1_fewshot,p1_fewshot,deepseek-v3.2,762,2.76%,6.56%
p1_fewshot_gpt-4o-mini,p1_fewshot,p1_fewshot,gpt-4o-mini,762,2.62%,2.76%
p1_fewshot_gpt-5.2,p1_fewshot,p1_fewshot,gpt-5.2,762,29.92%,50.00%
p1_fewshot_o4-mini,p1_fewshot,p1_fewshot,o4-mini,762,3.81%,8.79%
p2_fewshot_claude-sonnet-4-5-20250929,p2_fewshot,p2_fewshot,claude-sonnet-4-5-20250929,762,3.15%,10.76%
p2_fewshot_deepseek-v3.2,p2_fewshot,p2_fewshot,deepseek-v3.2,762,0.52%,2.89%
p2_fewshot_gpt-4o-mini,p2_fewshot,p2_fewshot,gpt-4o-mini,762,0.79%,1.18%
p2_fewshot_gpt-5.2,p2_fewshot,p2_fewshot,gpt-5.2,762,10.37%,15.35%
p2_fewshot_o4-mini,p2_fewshot,p2_fewshot,o4-mini,762,2.49%,7.35%
p3_fewshot_claude-sonnet-4-5-20250929,p3_fewshot,p3_fewshot,claude-sonnet-4-5-20250929,762,3.02%,12.20%
p3_fewshot_deepseek-v3.2,p3_fewshot,p3_fewshot,deepseek-v3.2,762,3.67%,6.17%
p3_fewshot_gpt-4o-mini,p3_fewshot,p3_fewshot,gpt-4o-mini,762,2.62%,3.67%
p3_fewshot_gpt-5.2,p3_fewshot,p3_fewshot,gpt-5.2,762,20.21%,40.55%
p3_fewshot_o4-mini,p3_fewshot,p3_fewshot,o4-mini,762,3.81%,8.14%
p1_fewshotplusCOT_claude-sonnet-4-5-20250929,p1_fewshot+COT,p1_fewshotplusCOT,claude-sonnet-4-5-20250929,762,5.25%,17.59%
p1_fewshotplusCOT_deepseek-v3.2,p1_fewshot+COT,p1_fewshotplusCOT,deepseek-v3.2,762,3.02%,7.87%
p1_fewshotplusCOT_gpt-4o-mini,p1_fewshot+COT,p1_fewshotplusCOT,gpt-4o-mini,762,2.23%,3.02%
p1_fewshotplusCOT_gpt-5.2,p1_fewshot+COT,p1_fewshotplusCOT,gpt-5.2,762,27.56%,46.06%
p2_fewshotplusCOT_claude-sonnet-4-5-20250929,p2_fewshot+COT,p2_fewshotplusCOT,claude-sonnet-4-5-20250929,762,2.89%,11.55%
p2_fewshotplusCOT_deepseek-v3.2,p2_fewshot+COT,p2_fewshotplusCOT,deepseek-v3.2,762,0.26%,1.57%
p2_fewshotplusCOT_gpt-4o-mini,p2_fewshot+COT,p2_fewshotplusCOT,gpt-4o-mini,762,0.39%,1.31%
p2_fewshotplusCOT_gpt-5.2,p2_fewshot+COT,p2_fewshotplusCOT,gpt-5.2,762,9.45%,16.54%
p3_fewshotplusCOT_claude-sonnet-4-5-20250929,p3_fewshot+COT,p3_fewshotplusCOT,claude-sonnet-4-5-20250929,762,5.12%,13.52%
p3_fewshotplusCOT_deepseek-v3.2,p3_fewshot+COT,p3_fewshotplusCOT,deepseek-v3.2,762,4.59%,10.63%
p3_fewshotplusCOT_gpt-4o-mini,p3_fewshot+COT,p3_fewshotplusCOT,gpt-4o-mini,762,2.36%,3.41%
p3_fewshotplusCOT_gpt-5.2,p3_fewshot+COT,p3_fewshotplusCOT,gpt-5.2,762,21.65%,42.13%
p1_fewshotplusLTM_claude-sonnet-4-5-20250929,p1_fewshot+LTM,p1_fewshotplusLTM,claude-sonnet-4-5-20250929,762,4.07%,12.07%
p1_fewshotplusLTM_deepseek-v3.2,p1_fewshot+LTM,p1_fewshotplusLTM,deepseek-v3.2,762,5.25%,13.52%
p1_fewshotplusLTM_gpt-4o-mini,p1_fewshot+LTM,p1_fewshotplusLTM,gpt-4o-mini,762,2.76%,4.20%
p1_fewshotplusLTM_gpt-5.2,p1_fewshot+LTM,p1_fewshotplusLTM,gpt-5.2,762,13.39%,31.36%
p2_fewshotplusLTM_claude-sonnet-4-5-20250929,p2_fewshot+LTM,p2_fewshotplusLTM,claude-sonnet-4-5-20250929,762,1.71%,6.69%
p2_fewshotplusLTM_deepseek-v3.2,p2_fewshot+LTM,p2_fewshotplusLTM,deepseek-v3.2,762,5.64%,10.76%
p2_fewshotplusLTM_gpt-4o-mini,p2_fewshot+LTM,p2_fewshotplusLTM,gpt-4o-mini,762,1.31%,2.49%
p2_fewshotplusLTM_gpt-5.2,p2_fewshot+LTM,p2_fewshotplusLTM,gpt-5.2,762,0.00%,0.26%
p3_fewshotplusLTM_claude-sonnet-4-5-20250929,p3_fewshot+LTM,p3_fewshotplusLTM,claude-sonnet-4-5-20250929,762,4.72%,9.97%
p3_fewshotplusLTM_deepseek-v3.2,p3_fewshot+LTM,p3_fewshotplusLTM,deepseek-v3.2,762,6.17%,12.86%
p3_fewshotplusLTM_gpt-4o-mini,p3_fewshot+LTM,p3_fewshotplusLTM,gpt-4o-mini,762,2.49%,4.20%
p3_fewshotplusLTM_gpt-5.2,p3_fewshot+LTM,p3_fewshotplusLTM,gpt-5.2,762,16.54%,37.27%
p1_zeroshot_claude-sonnet-4-5-20250929,p1_zeroshot,p1_zeroshot,claude-sonnet-4-5-20250929,762,0.13%,0.26%
p1_zeroshot_deepseek-v3.2,p1_zeroshot,p1_zeroshot,deepseek-v3.2,762,1.05%,3.28%
p1_zeroshot_gpt-4o-mini,p1_zeroshot,p1_zeroshot,gpt-4o-mini,762,0.00%,0.00%
p1_zeroshot_gpt-5.2,p1_zeroshot,p1_zeroshot,gpt-5.2,762,0.13%,1.18%
p1_zeroshot_o4-mini,p1_zeroshot,p1_zeroshot,o4-mini,762,0.00%,0.00%
p2_zeroshot_claude-sonnet-4-5-20250929,p2_zeroshot,p2_zeroshot,claude-sonnet-4-5-20250929,762,0.00%,0.00%
p2_zeroshot_deepseek-v3.2,p2_zeroshot,p2_zeroshot,deepseek-v3.2,762,0.00%,0.00%
p2_zeroshot_gpt-4o-mini,p2_zeroshot,p2_zeroshot,gpt-4o-mini,762,0.00%,0.00%
p2_zeroshot_gpt-5.2,p2_zeroshot,p2_zeroshot,gpt-5.2,762,0.00%,0.00%
p2_zeroshot_o4-mini,p2_zeroshot,p2_zeroshot,o4-mini,762,0.00%,0.00%
p3_zeroshot_claude-sonnet-4-5-20250929,p3_zeroshot,p3_zeroshot,claude-sonnet-4-5-20250929,762,0.00%,0.00%
p3_zeroshot_deepseek-v3.2,p3_zeroshot,p3_zeroshot,deepseek-v3.2,762,0.13%,0.13%
p3_zeroshot_gpt-4o-mini,p3_zeroshot,p3_zeroshot,gpt-4o-mini,762,0.00%,0.00%
p3_zeroshot_gpt-5.2,p3_zeroshot,p3_zeroshot,gpt-5.2,762,0.00%,0.00%
p3_zeroshot_o4-mini,p3_zeroshot,p3_zeroshot,o4-mini,762,0.00%,0.00%
